,accuracy,f1_macro,f1_micro,precision,recall
Pure Graphormer,0.986,0.9858514634914352,0.986,0.9858945709328966,0.9858678077122871
Graphormer + Explainer,0.3295,0.16534939154434827,0.3295,0.10994327660994328,0.3333333333333333
GCN,0.523,0.41819075871217753,0.523,0.4482429256090526,0.5154680549419912
GIN,0.903,0.9016287083018614,0.903,0.9015802113352546,0.9016859887504133
