,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,precision@20,recall@20,f1@20
Graphormer Explainer,1.0,0.0002499000399840064,0.0004996752111127767,1.0,0.0004998000799680128,0.0009991008092716555,1.0,0.0009996001599360256,0.0019972039145196726
Random,0.4,9.996001599360256e-05,0.00019987008444511068,0.3,0.00014994002399040384,0.0002997302427814966,0.4,0.00039984006397441024,0.000798881565807869
